"name","max_players","min_players","min_age","playing_time","year_published","Category-1","Category-2","Category-3","Expansion_available","Mechanic-1","Mechanic-2","Mechanic-3","Publisher-1","Publisher-2","Publisher-3","average_rating"
"DC Comics Dice Masters: World's Finest","2","2","14","60","2016","Collectible Components","Comic Book / Strip","Dice","Yes","Deck / Pool Building","Dice Rolling","Variable Player Powers","WizKids",,,"7.8"
"De Bellis Antiquitatis","6","2","14","60","1990","Ancient","Book","Medieval","Yes","Action Point Allowance System","Dice Rolling","Modular Board","Hobby Products GmbH","Wargames Research Group",,"7.1"
"De Bellis Multitudinis","2","2","12","180","1993","Ancient","Book","Medieval","Yes","Dice Rolling",,,"Wargames Research Group",,,"6.5"
"De Kolonisten van de Lage Landen","5","3","10","75","2009","Negotiation",,,"No","Dice Rolling","Hand Management","Memory","999 Games",,,"6.4"
"De Ontembare Stad","5","2","10","75","2004","Medieval","Territory Building",,"Yes","Area Control / Area Influence","Hand Management",,"The Game Master BV","HUCH! & friends",,"6.1"
"De Poorters van Nieuwstad","4","2","12","60","2013","Economic","Industry / Manufacturing","Medieval","No","Variable Phase Order",,,"999 Games",,,"6"
"De Vulgari Eloquentia","5","2","14","120","2010","Medieval",,,"No","Action Point Allowance System","Area Movement",,"Giochix.it","HomoLudicus","Lookout Games","7.3"
"Dead End","5","2","15","30","2007","Card Game","Exploration","Horror","No","Card Drafting","Hand Management",,"Nosolorol Ediciones",,,"5.6"
"Dead Fellas","6","2","8","30","2011","Card Game","Mafia","Zombies","Yes","Hand Management","Set Collection",,"Exile Game Studio","Ninja Division",,"6"
"Dead Last","12","6","14","90","2016","Bluffing","Card Game","Negotiation","No","Simultaneous Action Selection","Take That","Voting","Lucrum Games","Smirk & Dagger Games",,"6.7"
"Dead Man's Chest","8","3","8","30","2015","Bluffing","Dice","Pirates","No","Betting/Wagering","Dice Rolling","Player Elimination","Eagle-Gryphon Games",,,"5.9"
"Dead Man's Hand","6","2","11","45","2013","American West","Miniatures",,"Yes","Dice Rolling","Point to Point Movement",,"Great Escape Games",,,"8"
"Dead Men Tell No Tales","5","2","13","75","2015","Exploration","Fantasy","Fighting","Yes","Action Point Allowance System","Co-operative Play","Dice Rolling","Minion Games","Ghenos Games","Meeple BR Jogos","7.3"
"Dead of Winter: A Crossroads Game","5","2","14","210","2014","Bluffing","Horror","Zombies","Yes","Action Point Allowance System","Area Movement","Co-operative Play","Plaid Hat Games","Arclight","Cube Factory of Ideas","7.9"
"Dead of Winter: The Long Night","5","2","14","120","2016","Bluffing","Deduction","Horror","Yes","Action Point Allowance System","Area Movement","Co-operative Play","Arclight","Crowd Games","Cube Factory of Ideas","8.1"
"Dead Panic","6","2","13","90","2013","Zombies",,,"Yes","Action Point Allowance System","Co-operative Play","Dice Rolling","Edge Entertainment","Fireside Games",,"6.1"
"Deadlands: Doomtown","6","2","10","45","1998","American West","Card Game","City Building","Yes","Hand Management","Modular Board","Variable Player Powers","Alderac Entertainment Group (AEG)","Five Rings Publishing Group","Pinnacle Entertainment Group","7.3"
