"name","max_players","min_players","min_age","playing_time","year_published","Category-1","Category-2","Category-3","Expansion_available","Mechanic-1","Mechanic-2","Mechanic-3","Publisher-1","Publisher-2","Publisher-3","average_rating"
"Summertime","2","2","8","30","2006","Card Game",,,"No","Card Drafting","Hand Management","Pattern Building","KOSMOS",,,"5.7"
"Summit","6","3","12","60","1961","Economic","Negotiation","Political","No","Action Point Allowance System","Auction/Bidding","Simulation","Cameo Games","Milton Bradley",,"5.7"
"Summoner Wars","4","2","9","60","2009","Card Game","Fantasy","Fighting","Yes","Action Point Allowance System","Dice Rolling","Grid Movement","Plaid Hat Games","Filosofia Éditions","Galápagos Jogos","7.3"
"Summoner Wars: Alliances Master Set","4","2","9","45","2015","Card Game","Fantasy","Fighting","No","Dice Rolling","Grid Movement","Hand Management","Cube Factory of Ideas","Plaid Hat Games",,"8.3"
"Summoner Wars: Guild Dwarves vs Cave Goblins","4","2","9","30","2009","Card Game","Fantasy","Fighting","Yes","Dice Rolling","Grid Movement","Hand Management","Cube Factory of Ideas","Filosofia Éditions","Galápagos Jogos","7.7"
"Summoner Wars: Master Set","4","2","9","30","2011","Card Game","Fantasy","Fighting","Yes","Dice Rolling","Grid Movement","Hand Management","Plaid Hat Games","Cube Factory of Ideas","Filosofia Éditions","7.6"
"Summoner Wars: Phoenix Elves vs Tundra Orcs","4","2","9","30","2009","Card Game","Fantasy","Fighting","Yes","Dice Rolling","Grid Movement","Hand Management","Cube Factory of Ideas","Filosofia Éditions","Galápagos Jogos","7.6"
"Sun Tzu","2","2","10","30","2005","Ancient",,,"No","Area Control / Area Influence","Area Movement","Simultaneous Action Selection","Foxgames (Poland)","Jolly Roger Games","Matagot","7.1"
"Sun, Sea & Sand","5","2","10","60","2010","Economic","Travel",,"No","Tile Placement","Time Track","Worker Placement","Cwali",,,"7"
"Sunken City","4","2","8","45","2004","Adventure","Ancient","Exploration","No","Campaign / Battle Card Driven","Modular Board","Pick-up and Deliver","Clementoni","Überplay",,"6.2"
"Sunrise City","4","2","10","60","2012","City Building",,,"Yes","Auction/Bidding","Card Drafting","Tile Placement","Clever Mojo Games","Game Salute",,"6.7"
"Super Cluedo Challenge","9","2","8","120","1986","Deduction","Murder/Mystery",,"No","Paper-and-Pencil",,,"Damm / Egmont","Editrice Giochi","Waddington's Games","5.8"
"Super Dungeon Explore","6","2","10","120","2011","Adventure","Exploration","Fantasy","Yes","Action Point Allowance System","Dice Rolling","Modular Board","Ninja Division","Soda Pop Miniatures",,"7"
"Super Giant Monster Showdown","9","2","10","60","1999","Card Game","Children's Game","Fighting","Yes","Modular Board","Variable Player Powers",,"Cybergecko",,,"6"
"Super Motherload","4","2","13","75","2015","Science Fiction","Video Game Theme",,"No","Deck / Pool Building","Hand Management","Set Collection","Roxley","Games Factory Publishing","XGen Studios","7.6"
"Super Munchkin","6","3","10","90","2005","Card Game","Comic Book / Strip","Fighting","Yes","Dice Rolling","Trading","Variable Player Powers","Edge Entertainment","HaKubia","Hobby World","5.9"
"Super Scrabble","4","2","8","60","2004","Word Game",,,"No","Tile Placement",,,"Piatnik","Winning Moves Games (USA)",,"6.4"
"Superfection","6","2","8","30","1975","Action / Dexterity",,,"No","Hand Management",,,"Action Games and Toys Ltd","Clipper","Lakeside","5"
"Superfight","10","3","5","30","2013","Card Game","Comic Book / Strip","Fighting","Yes","Storytelling","Variable Player Powers","Voting","(Self-Published)","Skybound Games",,"6.1"
"Superfight: The Loot Crate Deck","10","2","5","45","2015","Card Game","Fighting","Humor","No","Storytelling",,,"Skybound Games",,,"5.8"
"SuperGang","5","3","10","120","1985","Action / Dexterity","Humor","Mafia","No","Roll / Spin and Move",,,"Ludodélire",,,"7"
"Supernova","5","3","8","180","2008","Science Fiction","Space Exploration",,"No","Auction/Bidding","Campaign / Battle Card Driven","Modular Board","Valley Games"," Inc.",,"6.1"
"Superpower","6","2","12","90","1986","Modern Warfare","Political",,"No","Roll / Spin and Move","Voting",,"Games Workshop Ltd.",,,"4.3"
"Suppenkasper","6","3","8","60","1987","Card Game",,,"No","Hand Management",,,"Mattel",,,"5.6"
"Supremacy","6","2","12","340","1984","Economic","Political","Wargame","Yes","Commodity Speculation","Dice Rolling",,"Descartes Editeur","Grow Jogos e Brinquedos","Supremacy Games","5.6"
"Survival of the Witless","8","3","12","60","1997","Card Game","Humor","Political","No","Hand Management","Set Collection",,"Avalanche Press Ltd.",,,"4.4"
"Survive: Escape from Atlantis!","4","2","8","60","1982","Adventure","Animals","Bluffing","Yes","Action Point Allowance System","Dice Rolling","Grid Movement","Parker Brothers","Stronghold Games","ADC Blackfire Entertainment","7.3"
"Survive: Space Attack!","4","2","8","60","2015","Science Fiction","Space Exploration",,"Yes","Action Point Allowance System","Dice Rolling","Modular Board","Stronghold Games",,,"7.3"
"Sushi Express","6","3","8","30","2005","Card Game",,,"No","Betting/Wagering","Press Your Luck","Set Collection","ABACUSSPIELE",,,"5.2"
"Suzerain","6","2","12","60","1993","Card Game","Medieval",,"No","Campaign / Battle Card Driven",,,"Prism Games","TimJim Games",,"6"
"Svea Rike","5","2","12","120","1997","Civilization","Economic",,"Yes","Area Control / Area Influence","Card Drafting",,"Användbart Litet Företag","Casper",,"6.4"
"Swamped","4","2","13","30","2016","Card Game","Exploration",,"No","Action / Movement Programming",,,"Bellwether Games",,,"6.2"
"Swärje","6","4","13","90","2004","Card Game","Humor","Political","No","Partnerships","Voting",,"The Card Cabinet",,,"5.4"
"Swashbuckler","6","2","12","90","1980","Fighting","Renaissance",,"No","Action / Movement Programming","Simultaneous Action Selection",,"Yaquinto",,,"6.9"
"SWAT!","7","2","7","30","1998","Animals","Card Game","Real-time","No","Memory","Set Collection",,"Eagle-Gryphon Games",,,"6"
"Sweden Fights On","2","2","12","240","2003","Pike and Shot","Wargame",,"No","Hex-and-Counter",,,"GMT Games",,,"7.7"
"Swinging Jivecat Voodoo Lounge","5","2","21","60","2016","Mature / Adult","Number","Territory Building","Yes","Area Control / Area Influence","Hand Management","Pattern Building","Daily Magic Games",,,"6.7"
"Swipe","6","2","8","30","2004","Dice",,,"No","Dice Rolling",,,"Fundex","Ideal",,"4.8"
"Switchboard","4","2","0","45","1966","Abstract Strategy","Dice","Maze","No","Dice Rolling","Modular Board","Roll / Spin and Move","Culligan","Piatnik","Watkins Strathmore","6"
"Switching Tracks","5","2","10","60","2015","Puzzle","Trains","Transportation","No","Pick-up and Deliver","Point to Point Movement","Route/Network Building","Wattsalpoag Games",,,"6.5"
"Sword & Skull","5","2","10","60","2005","Adventure","Fighting","Miniatures","No","Roll / Spin and Move","Variable Player Powers",,"Avalon Hill (Hasbro)",,,"5.5"
"Sword and Sail","5","2","12","30","2004","Ancient","Civilization","Nautical","No","Area Control / Area Influence","Area Movement",,"(Web published)","Andrew Jaster Multimedia Design",,"6.6"
"Sword of Rome","5","2","12","360","2004","Ancient","Political","Territory Building","Yes","Campaign / Battle Card Driven","Dice Rolling","Point to Point Movement","GMT Games",,,"7.3"
"Swordfish","6","2","14","75","2012","Economic","Nautical","Transportation","No","Pick-up and Deliver","Point to Point Movement","Route/Network Building","ElfinWerks","Ghenos Games",,"6"
"Swords & Sorcery","7","2","12","180","1978","Adventure","Fantasy","Wargame","No","Action Point Allowance System","Hex-and-Counter","Role Playing","SPI (Simulations Publications"," Inc.)",,"6.8"
"Swords and Bagpipes","6","2","11","45","2014","Bluffing","Medieval",,"Yes","Hand Management","Secret Unit Deployment","Simultaneous Action Selection","Moroz Publishing","Rightgames LLC",,"6.9"
"Swords of Sovereignty: Bouvines 1214 – Worringen 1288","2","2","0","120","2012","Medieval","Wargame",,"No","Hex-and-Counter",,,"Canons en Carton","Ludifolie Editions",,"8"
"Sylla","4","2","12","90","2008","Ancient",,,"Yes","Auction/Bidding","Card Drafting","Voting","Rio Grande Games","Ystari Games",,"6.8"
"Symbioz","4","2","14","180","1995","Animals","Science Fiction",,"No","Action Point Allowance System","Area Movement",,"Unicorn (I)",,,"6.8"
"Syracuse (415/413 av. J.-C.)","2","2","0","120","2012","Ancient","Wargame",,"No","Action Point Allowance System","Area Movement","Area-Impulse","Vae Victis",,,"7.6"
"T-Rex","5","3","10","45","1999","Card Game",,,"No","Hand Management","Set Collection","Trick-taking","Hans im Glück Verlags-GmbH","Rio Grande Games",,"5.5"
"T.I.M.E Stories","4","2","12","90","2015","Adventure","Mature / Adult","Medieval","Yes","Co-operative Play","Dice Rolling","Role Playing","Space Cowboys","ADC Blackfire Entertainment","Asmodee","8.1"
"Ta Yü","4","2","10","45","1999","Abstract Strategy",,,"No","Partnerships","Pattern Building","Route/Network Building","Crown & Andrews Ltd.","Goliath B.V.","KOSMOS","7"
"Tabloid Teasers","6","3","10","45","1991","Bluffing","Party Game",,"No","Voting",,,"Pressman Toy Corp.",,,"5.9"
"Tac Air","4","2","12","120","1987","Aviation / Flight","Modern Warfare","Wargame","No","Hex-and-Counter",,,"Avalon Hill",,,"6.1"
"Tadaaam!","9","4","8","30","2010","Humor","Party Game",,"No","Line Drawing","Paper-and-Pencil","Partnerships","Repos Production","Broadway Toys LTD",,"6.4"
"Tahiti","4","2","13","60","2012","Exploration","Mythology","Nautical","No","Action Point Allowance System","Grid Movement","Modular Board","Minion Games",,,"6.4"
"Tahuantinsuyu","4","3","12","180","2004","Civilization","Exploration",,"No","Hand Management","Line Drawing","Route/Network Building","Hangman Games",,,"7.2"
"Tai Chi Chuan","5","3","12","30","2007","Card Game","Word Game",,"No","Press Your Luck",,,"Cocktail Games",,,"6"
"TAIJI","2","2","7","30","2007","Abstract Strategy",,,"No","Tile Placement",,,"Blue Panther","nestorgames",,"6.4"
"Tail Feathers","4","2","9","90","2015","Aviation / Flight","Fantasy","Miniatures","No","Action / Movement Programming","Dice Rolling",,"Heidelberger Spieleverlag","Plaid Hat Games","Raven Distribution","7.6"
"Tàin","4","2","8","30","2007","Ancient","Bluffing",,"No","Secret Unit Deployment",,,"Wolf Fang P.H.",,,"5.4"
"Taj Mahal","5","3","12","100","2000","Bluffing","Political",,"No","Auction/Bidding","Card Drafting","Hand Management","alea","Ravensburger Spieleverlag GmbH","ABACUSSPIELE","7.3"
"Tajemnicze Domostwo","7","2","8","60","2013","Deduction","Murder/Mystery",,"Yes","Co-operative Play","Hand Management",,"Portal Games","Brain Games","IGames","7.4"
"Tak","2","2","12","60","2016","Abstract Strategy",,,"No","Grid Movement","Route/Network Building",,"Cheapass Games",,,"8.3"
"Takamatsu","5","2","10","30","2014","Maze",,,"Yes","Action / Movement Programming","Worker Placement",,"Mücke Spiele",,,"6"
"Takara Island","6","2","8","45","2011","Exploration","Fantasy",,"No","Dice Rolling","Modular Board",,"KogeKogeDo","Ferti","Japon Brand","6.2"
"Take 5!","6","2","10","60","1998","Card Game",,,"No","Hand Management","Set Collection",,"999 Games","AMIGO Spiel + Freizeit GmbH",,"6.4"
"Take a Train","6","2","8","60","2015","Economic","Trains",,"No","Auction/Bidding","Card Drafting","Set Collection","G3",,,"5.7"
"Take It or Leave It","5","2","8","30","2010","Card Game","Dice",,"No","Dice Rolling",,,"Gamewright","Schmidt Spiele",,"6.1"
"Take Off","4","2","10","30","1999","Card Game","Transportation",,"No","Auction/Bidding",,,"Adlung-Spiele",,,"5.4"
"Take Off!","6","2","6","60","1987","Card Game","Dice","Educational","No","Card Drafting","Roll / Spin and Move",,"Resource Games","TAKE OFF! Inc.",,"5.2"
"Take Stock","6","2","10","60","2006","Card Game","Economic",,"No","Commodity Speculation","Hand Management","Stock Holding","Z-Man Games",,,"5.9"
"Take the Train","6","2","7","30","2007","Card Game","Trains",,"No","Hand Management","Route/Network Building",,"The United States Playing Card Company",,,"5.1"
"Takenoko","4","2","8","45","2011","Animals","Environmental","Farming","Yes","Dice Rolling","Grid Movement","Modular Board","Bombyx","Matagot","Asmodee","7.4"
"Tal der Abenteuer: Die Schatzsuche im Himalaja","4","2","8","45","2006","Adventure","Travel",,"No","Hand Management","Set Collection",,"Parker Spiele",,,"5.9"
"Tal der Könige","4","2","12","60","1992","Ancient",,,"No","Action Point Allowance System","Area Control / Area Influence","Auction/Bidding","KOSMOS",,,"6.6"
"Tales & Games: The Grasshopper & the Ant","4","2","8","30","2015","Animals","Bluffing","Novel-based","No","Set Collection","Stock Holding",,"Purple Brain Creations","Asmodee","Asterion Press","6.5"
"Talisman","6","2","9","240","1983","Adventure","Exploration","Fantasy","Yes","Dice Rolling","Role Playing","Roll / Spin and Move","Altar Games","Casper","Gallimard","6.4"
"Talkin' Tango","8","4","8","60","2000","Party Game","Word Game",,"No","Partnerships",,,"Damm / Egmont","Patch Products",,"6.5"
"Tally Ho!","2","2","8","30","1973","Animals",,,"No","Grid Movement",,,"999 Games","Albi","Kaissa Chess & Games","6.1"
"Talon","6","2","12","90","2016","Science Fiction","Wargame",,"Yes","Grid Movement","Hex-and-Counter","Variable Player Powers","GMT Games",,,"7.8"
"Taluva","4","2","8","45","2006","City Building","Territory Building",,"No","Modular Board","Tile Placement",,"Cranio Creations","Ferti","Hans im Glück Verlags-GmbH","7.2"
"Taluva Deluxe","4","2","8","45","2015","City Building","Territory Building",,"Yes","Modular Board","Tile Placement",,"Ferti",,,"8"
"Tammany Hall","5","3","12","90","2007","Negotiation","Political","Territory Building","No","Area Control / Area Influence","Auction/Bidding","Variable Player Powers","IDW Games","Pandasaurus Games","StrataMax Games","7.3"
"Tank Battle","2","2","8","30","1975","Wargame","World War II",,"No","Action Point Allowance System","Secret Unit Deployment",,"Editrice Giochi","John Sands Pty Ltd","MB Jeux","5.3"
"Tank! Armored Combat in the 20th Century","2","2","12","90","1974","Modern Warfare","Wargame",,"Yes","Hex-and-Counter",,,"SPI (Simulations Publications"," Inc.)",,"5"
"Tannenberg 1914","3","2","0","240","1990","Wargame","World War I",,"Yes","Hex-and-Counter",,,"Dragon",,,"7.3"
"Tannenberg: Eagles in the East / Galicia: The Forgotten Cauldron","2","2","12","360","1999","Wargame","World War I",,"Yes","Dice Rolling","Hex-and-Counter","Simulation","SPW (Schroeder Publishing & Wargames)",,,"7.6"
"Tannhäuser","10","2","13","120","2007","Fantasy","Fighting","Horror","Yes","Dice Rolling","Point to Point Movement","Variable Player Powers","Edge Entertainment","Fantasy Flight Games","Giochi Uniti","6.5"
"Tante Tarantel","5","3","10","30","1991","Animals","Children's Game",,"No","Point to Point Movement","Roll / Spin and Move",,"Doris & Frank",,,"6.2"
"Tanto Cuore","4","2","13","45","2009","Card Game","Mature / Adult",,"Yes","Action Point Allowance System","Card Drafting","Deck / Pool Building","Arclight","Japanime Games",,"6.9"
"Tanto Cuore: Expanding the House","4","2","12","45","2010","Card Game",,,"Yes","Card Drafting","Deck / Pool Building","Hand Management","Arclight","Japanime Games",,"7.6"
"Tanto Cuore: Oktoberfest","4","2","13","45","2016","Card Game",,,"Yes","Card Drafting","Deck / Pool Building","Hand Management","Arclight","Japanime Games",,"7.6"
"Tanto Cuore: Romantic Vacation","4","2","12","30","2010","Card Game",,,"No","Card Drafting","Deck / Pool Building","Hand Management","Arclight","Japanime Games",,"7.6"
"Tanz der Hornochsen!","8","2","8","30","2004","Animals","Humor",,"No","Simultaneous Action Selection",,,"AMIGO Spiel + Freizeit GmbH",,,"6.5"
"Tapple","10","2","8","30","2012","Card Game","Electronic","Party Game","No","Player Elimination",,,"Bizak","danspil","Ideal","6.4"
"Tara, Seat of Kings","4","2","10","45","2006","Abstract Strategy",,,"No","Hand Management",,,"Surprised Stare Games Ltd",,,"6.3"
"Target Arnhem: Across 6 Bridges","2","2","12","90","2005","Wargame","World War II",,"No","Dice Rolling","Hex-and-Counter",,"Game Journal","Multi-Man Publishing",,"6.5"
"Targi","2","2","12","60","2012","Arabian","Card Game",,"Yes","Modular Board","Set Collection","Worker Placement","999 Games","Devir","Filosofia Éditions","7.6"
"Targui","4","2","12","120","1988","Wargame",,,"No","Modular Board","Player Elimination",,"Jumbo",,,"6.3"
"Tash-Kalar: Arena of Legends","4","2","13","60","2013","Abstract Strategy","Card Game","Fantasy","Yes","Area Control / Area Influence","Grid Movement","Hand Management","Czech Games Edition","Cranio Creations","Heidelberger Spieleverlag","7.3"
"TaskForce","2","2","14","360","1981","Modern Warfare","Nautical","Wargame","No","Hex-and-Counter","Secret Unit Deployment",,"SPI (Simulations Publications"," Inc.)",,"6.5"
"Tasnia","4","2","8","45","2013","City Building","Deduction","Medieval","No","Set Collection","Tile Placement","Trading","Grey Gnome Games",,,"6"
"TATATA!","8","2","10","30","2005","Aviation / Flight","Card Game","Fighting","No","Memory","Modular Board","Pick-up and Deliver","Angelo Porazzi Games",,,"6"
"Tatsu","2","2","8","45","2016","Abstract Strategy",,,"No","Roll / Spin and Move",,,"Gen42 Games","HUCH! & friends",,"6.9"
"Tavern","2","2","12","45","2006","Card Game","Fantasy","Humor","No","Set Collection",,,"Elven Ear Games","Vendetta",,"6.5"
"Tavern's Tales","4","2","12","60","2016","Card Game","Fantasy",,"No","Deck / Pool Building","Hand Management",,"Tailor Games",,,"6.8"
"Taverna","5","2","12","90","2015","Fantasy","Medieval",,"No","Area Control / Area Influence","Card Drafting","Worker Placement","FunBox Jogos","Games Factory Publishing","Geek Attitude Games","6.4"
"Tea Time","4","2","8","30","2012","Card Game","Novel-based",,"No","Set Collection",,,"Gigamic",,,"6"
"Team Play","6","3","8","30","2015","Card Game",,,"No","Partnerships",,,"G3","Schmidt Spiele",,"6.9"
"Team Yankee","2","2","12","360","1987","Modern Warfare","Novel-based","Wargame","No","Hex-and-Counter","Modular Board","Simulation","GDW Games",,,"5.9"
"Teams of Enemies","8","4","12","45","2000","Trivia",,,"No","Partnerships",,,"Big Toe Games"," Inc.",,"5.4"
"Tears of the Dragon","2","2","12","120","2003","Dice","Fantasy","Wargame","No","Dice Rolling","Point to Point Movement","Variable Player Powers","Avalanche Press Ltd.",,,"5.1"
"Techno Witches","4","2","10","50","2005","Fantasy","Racing",,"No","Action / Movement Programming","Modular Board","Simulation","KOSMOS","Rio Grande Games",,"6.2"
"Teenage Mutant Ninja Turtles Dice Masters","4","2","14","60","2016","Collectible Components","Comic Book / Strip","Dice","Yes","Deck / Pool Building","Dice Rolling","Variable Player Powers","WizKids",,,"7.4"
"Teenage Mutant Ninja Turtles Game","4","2","6","60","2003","Animals","Comic Book / Strip","Dice","No","Action Point Allowance System","Dice Rolling","Point to Point Movement","Hasbro","MB Jeux","Milton Bradley","5.5"
"Teenage Mutant Ninja Turtles: Shadows of the Past","5","2","14","90","2016","Comic Book / Strip","Fighting","Miniatures","Yes","Dice Rolling","Grid Movement","Hand Management","IDW Games","Pandasaurus Games",,"8"
"TEG: La Revancha","6","2","14","240","1990","Dice","Wargame",,"No","Area-Impulse","Dice Rolling",,"Yetem S.A.",,,"6.2"
"Tekeli-li","6","3","10","30","2005","Card Game","Horror","Memory","No","Memory","Trick-taking",,"Grimpeur","Japon Brand","Die Kiste des Brettspiels","5.9"
"Telepaths","24","4","9","60","1992","Party Game","Word Game",,"No","Partnerships",,,"Albi","Brainstorm Games"," Inc.","6"
"Telestrations","8","4","12","30","2009","Humor","Party Game","Real-time","No","Line Drawing","Paper-and-Pencil",,"Användbart Litet Företag","Broadway Toys LTD","Competo / Marektoy","7.4"
"Telestrations After Dark","8","4","17","30","2015","Humor","Mature / Adult","Party Game","No","Line Drawing","Paper-and-Pencil",,"USAopoly",,,"7.2"
"Temp Worker Assassins","4","2","14","60","2016","Fantasy",,,"No","Deck / Pool Building","Worker Placement",,"(Self-Published)",,,"7.3"
"Templar Intrigue","10","7","13","30","2014","Card Game","Medieval",,"No","Partnerships",,,"Hobby World","KOI Games","Tasty Minstrel Games","5"
"Templar: The Secret Treasures","5","2","8","60","2013","Adventure","Exploration","Medieval","Yes","Area Movement",,,"Queen Games",,,"6.4"
"Temple of the Beastmen","6","2","12","90","1989","Adventure","Exploration","Fighting","Yes","Modular Board","Variable Player Powers",,"GDW Games","Stratelibri",,"5.8"
"Temporum","5","2","13","35","2014","Age of Reason","Ancient","Card Game","Yes","Area Control / Area Influence","Hand Management","Modular Board","Rio Grande Games",,,"6.5"
"Tempus","5","3","14","120","2006","Civilization","Territory Building",,"No","Auction/Bidding","Grid Movement","Hand Management","Cafe Games","Pro Ludo","PS-Games","6.5"
"Tempus Draconis","6","2","10","60","2003","Adventure","Dice","Exploration","No","Action Point Allowance System","Co-operative Play","Dice Rolling","Scribabs",,,"5.5"
"Tenjo","4","2","12","360","2001","Medieval","Negotiation",,"No","Dice Rolling","Hand Management","Point to Point Movement","Whyspire? Games",,,"5.1"
"Tenka","4","3","0","35","2008","Card Game","Medieval",,"No","Area Control / Area Influence","Hand Management",,"Victory Point Games",,,"6.3"
"Tennis","4","2","8","45","1975","Card Game","Sports",,"No","Hand Management",,,"Capiépa - Jeux Éducatifs","Kipos","Parker Brothers","4.8"
"Tentacle Bento","6","2","16","60","2012","Card Game","Mature / Adult",,"Yes","Set Collection",,,"Ninja Division","Soda Pop Miniatures",,"5.4"
"Teomachia","4","2","10","30","2012","Ancient","Bluffing","Card Game","Yes","Auction/Bidding","Card Drafting","Deck / Pool Building","Fabryka Gier Historycznych",,,"6.7"
"Terakh: A Creative Strategy Game","6","2","9","120","2005","Fantasy","Wargame",,"No","Dice Rolling","Modular Board","Variable Player Powers","StonePlay",,,"5.9"
"Terra","6","2","10","60","2014","Educational","Trivia",,"Yes","Betting/Wagering",,,"999 Games","Bard Centrum Gier","Bézier Games","6.9"
"Terra Evolution","4","2","10","45","2011","Animals","Card Game","Prehistoric","No","Card Drafting","Deck / Pool Building","Hand Management","Mindwarrior Games",,,"5.5"
"Terra Mystica","5","2","12","150","2012","Civilization","Economic","Fantasy","Yes","Route/Network Building","Variable Phase Order","Variable Player Powers","Feuerland Spiele","Bard Centrum Gier","Cranio Creations","8.3"
"Terra Mystica: Big Box","5","2","12","150","2015","Civilization","Economic","Fantasy","No","Route/Network Building","Variable Player Powers",,"Feuerland Spiele","Korea Boardgames co."," Ltd.","8.8"
"Terra Nova","4","2","10","45","2006","Abstract Strategy","Territory Building",,"No","Area Control / Area Influence","Area Enclosure","Grid Movement","Competo / Marektoy","Immortal Eyes Games","Winning Moves Games (USA)","6.4"
"Terra Prime","5","2","10","60","2009","Economic","Science Fiction","Space Exploration","No","Action Point Allowance System","Dice Rolling","Modular Board","Tasty Minstrel Games",,,"6.4"
"Terra Turrium","4","2","12","90","1990","Abstract Strategy",,,"No","Action Point Allowance System","Modular Board",,"KOSMOS",,,"6"
"Terrain Vague","4","2","10","120","1993","Fighting","Humor",,"No","Action Point Allowance System","Modular Board",,"Ludodélire",,,"6.7"
"Terrible Swift Sword","6","2","12","4320","1976","American Civil War","Wargame",,"No","Dice Rolling","Hex-and-Counter",,"SPI (Simulations Publications"," Inc.)","TSR","7.3"
"Terror in Meeple City","4","2","8","45","2013","Action / Dexterity","Horror",,"Yes","Area Movement","Set Collection","Variable Player Powers","Repos Production",,,"7"
"Tesla vs. Edison: War of Currents","5","2","14","90","2015","Bluffing","Card Game","Economic","Yes","Action Point Allowance System","Commodity Speculation","Hand Management","Artana","Giochix.it",,"6.8"
"Test of Arms","2","2","12","120","1988","Korean War","Modern Warfare","Wargame","No","Hex-and-Counter","Modular Board",,"GDW Games",,,"5.8"
"Test of Fire: Bull Run 1861","2","2","10","45","2011","American Civil War","Wargame",,"No","Action Point Allowance System","Area Control / Area Influence","Dice Rolling","Mayfair Games",,,"6.6"
"Tet Offensive","4","2","0","120","1991","Vietnam War","Wargame",,"No","Area Movement","Dice Rolling",,"GDW Games",,,"6.2"
"Texas & Pacific","6","2","0","60","2010","American West","Economic","Industry / Manufacturing","No","Auction/Bidding","Stock Holding",,"Winsome Games",,,"6.8"
"Texas Glory: 1835-36","2","2","0","120","2008","American West","Post-Napoleonic","Wargame","No","Dice Rolling","Secret Unit Deployment",,"Columbia Games",,,"7.1"
"That's Life!","6","2","8","30","2005","Humor",,,"Yes","Dice Rolling","Modular Board","Roll / Spin and Move","Piatnik","Ravensburger Spieleverlag GmbH","Rio Grande Games","6.5"
"The '45","2","2","12","240","1995","Age of Reason","Wargame",,"No","Point to Point Movement","Simulation",,"Decision Games (I)",,,"6.3"
"The 3 Commandments","7","3","10","45","2008","Deduction","Fantasy","Memory","No","Memory","Pattern Recognition",,"BeWitched Spiele","Rio Grande Games",,"5.5"
"The Adventurers: The Pyramid of Horus","6","2","13","45","2011","Adventure","Ancient","Exploration","No","Action Point Allowance System","Dice Rolling","Grid Movement","Dust Games","Edge Entertainment","Fantasy Flight Games","6.8"
"The Adventurers: The Temple of Chac","6","2","10","45","2009","Adventure","Ancient","Exploration","Yes","Action Point Allowance System","Dice Rolling","Grid Movement","Alderac Entertainment Group (AEG)","Axel","Dust Games","6.6"
"The African Campaign","2","2","12","120","1973","Wargame","World War II",,"No","Hex-and-Counter",,,"Jedko Games","Kokusai-Tsushin Co."," Ltd. (?????)","6.4"
"The Agents","5","2","8","40","2013","Card Game","Spies/Secret Agents",,"Yes","Hand Management",,,"(Self-Published)",,,"6.4"
"The Alamo","2","2","12","90","1981","Wargame",,,"No","Hex-and-Counter",,,"Decision Games (I)","Hobby Japan","SPI (Simulations Publications","5.9"
"The Amberden Affair","6","3","12","45","2013","Murder/Mystery","Real-time",,"No","Pick-up and Deliver","Simultaneous Action Selection",,"Breaking Games","The Game Crafter"," LLC","6.2"
"The American Civil War","2","2","12","240","1974","American Civil War","Wargame",,"No","Dice Rolling","Hex-and-Counter","Simulation","Decision Games (I)","SPI (Simulations Publications"," Inc.)","5.8"
"The American Revolution 1775-1783","2","2","12","180","1972","Age of Reason","American Revolutionary War","Wargame","No","Area Movement",,,"SPI (Simulations Publications"," Inc.)",,"6.1"
"The Ancient World","4","2","13","90","2014","Ancient","Civilization","Fantasy","Yes","Card Drafting","Dice Rolling","Set Collection","Red Raven Games","Hobby World","IELLO","7.2"
"The Arab-Israeli Wars","2","2","14","240","1977","Arabian","Modern Warfare","Wargame","Yes","Hex-and-Counter",,,"Avalon Hill",,,"6.3"
"The Ardennes Offensive","2","2","12","120","1973","Wargame","World War II",,"No","Hex-and-Counter","Simulation",,"SPI (Simulations Publications"," Inc.)",,"6.3"
"The Ares Project","4","2","13","60","2011","Card Game","Fighting","Science Fiction","No","Dice Rolling","Hand Management","Rock-Paper-Scissors","Z-Man Games",,,"6.8"
"The Ark of the Covenant","5","2","8","30","2003","Ancient","City Building","Religious","No","Area Control / Area Influence","Tile Placement",,"Bergsala Enigma","Diehl Medien","Inspiration Games","7"
"The Arrival","4","2","12","90","2016","Ancient","Civilization","Mythology","No","Action Point Allowance System","Area Control / Area Influence","Hand Management","Game's Up",,,"7.1"
"The Art of Siege","2","2","12","240","1978","Ancient","Medieval","Wargame","No","Hex-and-Counter",,,"SPI (Simulations Publications"," Inc.)",,"6.7"
"The Awful Green Things From Outer Space","2","2","12","90","1979","Science Fiction","Wargame",,"Yes","Area Movement","Dice Rolling",,"Grow Jogos e Brinquedos","Steve Jackson Games","TSR","6.5"
"The Aztec Market","4","2","10","45","2009","Abstract Strategy","Puzzle",,"Yes","Commodity Speculation","Modular Board","Tile Placement","nestorgames",,,"7.2"
"The Banner Saga: Warbands","4","2","13","90","2016","Fantasy","Miniatures","Negotiation","No","Auction/Bidding","Co-operative Play","Partnerships","MegaCon Games",,,"5.6"
"The Barbarians","3","2","12","120","1981","Ancient","Wargame",,"No","Area Movement","Dice Rolling",,"Yaquinto",,,"6.1"
"The Baton Races of Yaz","2","2","8","60","1984","Fantasy","Racing",,"No","Hex-and-Counter",,,"TSR",,,"5.4"
"The Battle for Cassino: Assaulting the Gustav Line, 1944","2","2","12","240","1978","Wargame","World War II",,"No","Hex-and-Counter","Simulation",,"SPI (Simulations Publications"," Inc.)",,"5.2"
