Title,Title_Romaji,Title_English,Title_Japanese,Season,SeasonYear,Genre1,Genre2,Genre3,Demographic,Studio,Title_Clean,Circulation_Num,Circulation_PreAnime
Bobobo-bo Bo-bobo,Bobobo-bo Bo-bobo,Bobobo-bo Bo-bobo,??????????,FALL,2003,Adventure,Comedy,Sci-Fi,Shounen,Toei Animation,Bobobo-bo Bo-bobo,,
Bocchi the Rock!,Bocchi the Rock!,BOCCHI THE ROCK!,?????????!,FALL,2022,Comedy,Music,Slice of Life,Seinen,CloverWorks,Bocchi the Rock!,,
Boku dake ga Inai Machi,Boku dake ga Inai Machi,ERASED,????????,WINTER,2016,Drama,Mystery,Psychological,Seinen,A-1 Pictures,Boku dake ga Inai Machi,,
Boku no Hero Academia,Boku no Hero Academia,My Hero Academia,???????????,SPRING,2016,Action,Adventure,Comedy,Shounen,bones,Boku no Hero Academia,,205179000000
Boku no Tonari ni Ankoku Hakaishin ga Imasu.,Boku no Tonari ni Ankoku Hakaishin ga Imasu.,A Destructive God Sits Next to Me,?????????????????,WINTER,2020,Comedy,Slice of Life,,Shoujo,EMT Squared,Boku no Tonari ni Ankoku Hakaishin ga Imasu.,,
Boku to Roboko,Boku to Roboco,ME & ROBOCO,?????,WINTER,2023,Comedy,Slice of Life,,Shounen,Studio Gallop,Boku to Roboko,,
Bokura ga Ita,Bokura ga Ita,We Were There,?????,SUMMER,2006,Drama,Romance,Slice of Life,Shoujo,Artland,Bokura ga Ita,,
Bokura wa Minna Kawai-sou,Bokura wa Minna Kawaisou,The Kawai Complex Guide to Manors and Hostel Behavior,?????????,SPRING,2014,Comedy,Romance,Slice of Life,Seinen,Brain's Base,Bokura wa Minna Kawai-sou,,
Bokutachi no Remake,Bokutachi no Remake,Remake Our Life!,?????????,SUMMER,2021,Drama,Romance,Slice of Life,,feel.,Bokutachi no Remake,,
Boogiepop wa Warawanai,Boogiepop wa Warawanai,Boogiepop and Others,???????????,WINTER,2019,Horror,Mystery,Psychological,,MADHOUSE,Boogiepop wa Warawanai,,
Boys Be...,BOYS BE ...,BOYS BE ...,BOYS BE???,SPRING,2000,Comedy,Romance,Slice of Life,Shounen,Hal Film Maker,Boys Be...,25135,
Brain Powerd,Brain Powerd,Brain Powerd,???????,SPRING,1998,Action,Adventure,Mecha,,Sunrise,Brain Powerd,,
Brave 10,Brave 10, Brave 10,???????,WINTER,2012,Action,Adventure,,Seinen,Studio Saki Makura,Brave 10,,
Break Blade,Break Blade,Broken Blade,???? ????,SPRING,2014,Action,Fantasy,Mecha,Shounen,Production I.G,Break Blade,,
Brigadoon: Marin to Melan,Brigadoon: Marin to Melan,Brigadoon,?????? ???????,SUMMER,2000,Adventure,Comedy,Drama,,Sunrise,Brigadoon: Marin to Melan,,
