Name,Max Players,Play Time,Min Age,Rating Average,Complexity Average,Mechanics,no. of mechanics
A Few Acres of Snow,2,120,14,7,340,Abstract Games,1
A Fistful of Dinero,6,30,10,6,13969,Card Drafting,2
A Fistful of Gold,2,15,8,5,17480,Action Points,10
A Fistful of Meeples,4,30,14,7,2387,Roll / Spin and Move,1
A Fistful of Penguins,6,15,8,6,4665,Dice Rolling,4
A Fool's Fortune,3,45,13,6,8083,Dice Rolling,3
A Frozen Hell: The Battle of Tolvajärv,2,240,12,6,8813,Communication Limits,3
A Game of Cat & Mouth,2,10,7,7,8640, Dice Rolling,1
A Game of Gnomes,4,90,12,6,7295,Campaign / Battle Card Driven,5
A Game of Thrones Collectible Card Game,5,30,0,6,3287,Network and Route Building,3
A Game of Thrones: Catan - Brotherhood of the Watch,4,75,14,7,2044,Square Grid,2
A Game of Thrones: The Card Game,4,120,12,6,994,Dice Rolling,7
A Gleam of Bayonets: The Battle of Antietam,6,4200,12,7,5889, Pattern Recognition,3
A Greek Tragedy: The Italian Invasion of Greece 1940-1941,2,360,12,6,13415,Card Drafting,10
A Handful of Stars,4,120,13,7,2288,Chit-Pull System,8
A House Divided: War Between the States 1861-65,2,240,12,7,1315,Tile Placement,1
A Line in the Sand: The Battle of Iraq,6,180,10,5,12124, Modular Board,5
A Mighty Fortress,6,240,14,6,10759,Dice Rolling,4
A Night in Deepwail Manor,2,15,10,6,12472,Bias,7
A Nightmare on Elm Street: The Game,6,60,12,4,19560,Action Points,6
A Place in the Sun,4,60,14,7,10553,Hand Management,4
A Pleasant Journey to Neko,4,90,12,7,4966,Action Points,3
A Pragmatic War: The War of the Austrian Succession 1741 - 1748,2,300,14,7,11135, Pattern Recognition,3
A Question of Scruples,12,60,18,4,20278, Betting and Bluffing,3
A Raging Storm,2,60,12,6,9593, Deck Bag and Pool Building,2
A Song of Ice & Fire: Tabletop Miniatures Game - Free Folk Starter Set,2,60,14,8,9644,Dice Rolling,1
A Song of Ice & Fire: Tabletop Miniatures Game - Night's Watch Starter Set,2,60,14,8,9685,Dice Rolling,5
A Song of Ice & Fire: Tabletop Miniatures Game - Stark vs Lannister Starter Set,2,60,14,8,1698, Hand Management,2
A Spoiled Victory: Dunkirk 1940,1,60,0,7,8692,Action Points,4
A Study in Emerald,5,90,13,7,833, Hexagon Grid,4
A Tale of Pirates,4,30,8,7,2530, Set Collection,1
A Thunder Upon the Land: The Battles of Narva and Poltava,2,240,14,6,14477,Betting and Bluffing,4
A Time for Trumpets: The Battle of the Bulge,2,5,0,44,48,Action Points,6
A to Z,4,30,9,6,8428,Pattern Building,2
A Touch of Evil: Dark Gothic,6,60,12,6,3480, Hand Management,2
A Touch of Evil: Dark Gothic - Colonial Horror,3,60,12,7,4837,Deck Bag and Pool Building,3
A Touch of Evil: The Supernatural Game,8,120,12,6,992,Campaign / Battle Card Driven,4
A Victory Lost: Crisis in Ukraine 1942-1943,2,360,12,7,1357,Pattern Building,2
A War of Whispers,4,60,14,7,1677,Card Drafting,1
A Wing and a Prayer: Bombing the Reich,2,120,12,7,8022, Push Your Luck,1
A Winter War,2,360,12,7,6945,Hand Management,1
A World at War,8,2880,14,7,3964,Tile Placement,1
A.D. 30,1,60,13,6,7032,Secret Unit Deployment,2
A.D.A.P.T.,3,40,7,5,16737,Card Drafting,3
A.E.G.I.S.: Combining Robot Strategy Game,6,120,10,7,7651,Auction/Bidding,4
A4 Quest,2,15,8,6,4946,Hexagon Grid,3
Aachen,2,360,12,6,12595,Card Drafting,4
Aachen: First to Fall,2,60,12,6,13552,Roll / Spin and Move,3
Aapep,4,20,8,5,17629,Team-Based Game,4
Aargh!,4,20,3,6,13515,Memory,2
AARRR!,2,15,5,6,13941,Hand Management,2
Abagio,2,38,10,5,16749,Roll / Spin and Move,6
Abalone Classic,2,30,7,6,1628,Dice Rolling,3
Abalone Quattro,4,40,0,6,6777,Campaign / Battle Card Driven,2
Abande,2,30,8,7,7491,Grid Movement,6
Abandon All Artichokes,4,20,10,7,3026,Dice Rolling,7
Abandon Planet,8,80,12,6,7161,Modular Board,2
ABC Monday Night Football,2,60,8,6,1,Simulation,2
Abduction,4,20,10,5,19706,Dice Rolling,3
Abilene,6,45,8,5,12258, Re-rolling and Locking,2
Ablaze!,4,30,10,6,8350,Cooperative Game,1
Abomination: The Heir of Frankenstein,4,180,13,7,1128,Dice Rolling,10
About Time,8,90,14,6,11723, Network and Route Building,3
Above,4,45,14,6,12633,Area Movement,8
Above and Below,4,90,13,7,253,Dice Rolling,1
Abra Kazam!,8,15,8,5,15515,Action Queue,3
Abracada...What?,5,30,7,6,2372, Tile Placement,1
Abracadabra,6,30,8,5,18440, Campaign / Battle Card Driven,5
aBRIDGEd,4,40,12,5,17659,Hand Management,4
Absolute Victory: World Conflict 1939-1945,2,1200,12,8,7666,Area Majority / Influence,2
Absolutely Aces,2,10,0,5,14932,Hand Management,4
Abyss,4,60,14,7,342, Simultaneous Action Selection,1
Academia,6,60,0,6,8831,Hand Management,4
Accentuate,12,30,12,5,18015,Acting,2
Accused! Getting Away With Murder?,8,90,14,6,15209,Role Playing,2
Ace Detective,5,60,14,6,9493,Dice Rolling,4
Ace of Aces: Balloon Buster,2,20,10,6,8497,Card Drafting,4
Ace of Aces: Flying Machines,2,20,12,7,4515,Area Movement,5
Ace of Aces: Handy Rotary Series,2,20,10,7,2039,Trick-taking,1
Ace of Aces: Jet Eagles,2,20,10,6,10778,Auction/Bidding,11
Ace of Aces: Powerhouse Series,2,20,12,7,2973,Action Queue,3
Ace of Aces: Wingleader,2,20,10,6,7319,Action Points,5
Ace of Spies,5,30,10,5,17524,Campaign / Battle Card Driven,5
Aces High,2,30,10,6,9235,Cooperative Game,4
Acquire,6,90,12,7,276, Pattern Recognition,1
Across 5 Aprils,2,180,12,6,3492,Action Points,8
Across Africa,4,30,6,4,19200,Dice Rolling,3
Across the Board,7,60,0,6,11989,Action Queue,6
Across the Iron Curtain,6,45,10,4,18925,Card Drafting,1
Across the Potomac,2,120,12,6,10779,Hexagon Grid,2
Across the United States,5,60,8,7,8108,Network and Route Building,2
Act Too,10,25,8,5,16565,Acting,3
Action Cats!,6,45,9,5,16011,Storytelling,1
Actionworks,6,30,8,6,12418,Action Retrieval,7
Activity,16,45,12,5,6372,Auction/Bidding,2
Activity 2,16,60,12,6,6592,Action Points,10
Activity Club-Edition,16,45,18,5,16736,Automatic Resource Growth,6
Activity Junior,12,30,8,5,15511,Acting,6
Acuity,20,10,6,5,16387,Modular Board,3
Ad Acta,4,60,12,6,7629,Card Drafting,2
Ada Lovelace: Consulting Mathematician,1,20,8,6,8153,Auction/Bidding,7
Adam & Eva,2,30,12,5,11202,Area Majority / Influence,5
Adaman,1,10,0,6,12178,Auction/Bidding,8
Adamastor,2,15,12,7,6888,Card Drafting,5
Adaptoid,2,20,8,6,6793,Area Majority / Influence,3
Addictive Alchemy,6,45,12,7,13139,Dice Rolling,4
"Admiral Ackbar ""It's a TRAP!"" GAME",5,30,5,3,19235,Pattern Building,1
Admirals,2,30,7,5,15208, Elapsed Real Time Ending,3
Admirals' War: World War II at Sea,4,480,0,8,9006,Card Drafting,5
Adorable Pandaring,5,10,10,5,14551,Area Majority / Influence,1
Adrenaline,5,60,12,7,733, Pattern Building,2
Advanced Dungeons & Dragons Battlesystem,2,120,10,5,16004,Hand Management,4
Advanced Dungeons & Dragons Battlesystem Skirmishes,8,120,12,5,17719,Dice Rolling,4
Advanced Dungeons & Dragons Trivia Game,10,60,10,4,19647,Area Majority / Influence,6
Advanced European Theater of Operations,5,360,15,7,7037,Set Collection,2
Advanced Guildhall Fantasy: The Gathering,4,45,10,7,6834,Hand Management,3
Advanced Pacific Theater of Operations,5,360,15,7,10518,Area Movement,7
Advanced Song of Blades and Heroes,8,120,12,8,6666,Grid Movement,2
Advanced Space Crusade,2,45,12,6,6295,Memory,3
Advanced Squad Leader: Starter Kit #1,2,120,13,7,559,Customizable Games,1
Advanced Squad Leader: Starter Kit #2,2,180,12,7,1069, Team-Based Game,1
Advanced Squad Leader: Starter Kit #3,2,180,12,8,1163,Auction/Bidding,1
Advanced Squad Leader: Starter Kit #4 - Pacific Theater of Operations,2,180,12,8,5326,Auction/Bidding,4
Advanced Tobruk,2,180,10,7,4945,Cooperative Game,3
Adventure Games: The Dungeon,4,75,12,7,1492, Deck Bag and Pool Building,4
Adventure Games: The Grand Hotel Abaddon,4,75,12,7,7487,Cooperative Game,2
Adventure Games: The Volcanic Island,4,75,12,6,7309,Dice Rolling,3
Adventure Island,5,90,10,6,6873,Dice Rolling,3
Adventure Land,4,45,10,6,1421,Hand Management,2
Adventure Mart,4,60,10,7,7494,Auction/Bidding,3
Adventure of D,4,30,0,6,8021,Deck Bag and Pool Building,6
Adventure Tactics: Domianne's Tower,5,90,10,8,4944,Dice Rolling,6
Adventure Time Card Wars: Doubles Tournament,4,45,10,6,15318,Team-Based Game,2
Adventure Time Card Wars: Finn vs. Jake,2,30,10,6,5179,Point to Point Movement,3
Adventure Time Card Wars: Ice King vs. Marceline,2,30,10,6,8566,Card Drafting,3
Adventure Time Card Wars: Lemongrab vs. Gunter,2,30,10,6,10493,Hand Management,2
Adventure Time Card Wars: Princess Bubblegum vs. Lumpy Space Princess,2,30,10,6,7611,Hexagon Grid,2
Adventure Time Fluxx,6,30,8,6,4862,Pick-up and Deliver,3
Adventure Time: Adventures in the Land of Ooo,5,90,8,6,15537,Action Drafting,6
Adventure Time: Love Letter,4,20,10,7,1394, Hexagon Grid,2
Adventure Tours,6,45,10,6,7877,Hand Management,3
Adventurer: A Game of Man to Man Brawling in the Far Future,6,90,12,6,12129,Dice Rolling,4
Adventurer: Card Game,4,10,8,5,18213,Area Majority / Influence,7
Adventures in Neverland,4,120,12,8,11176,Area Movement,1
Adversity,6,30,12,4,18611,Voting,7
Aeolis,7,120,18,9,13549,Area Majority / Influence,5
Aeon Trespass: Odyssey,4,90,12,8,8674,Worker Placement,2
Aeon's End,4,60,14,8,70,Dice Rolling,2
Aeon's End: Outcasts,4,60,14,8,2146,Tile Placement,1
Aeon's End: The New Age,4,60,14,8,422,Area Movement,6
Aeon's End: War Eternal,4,60,14,8,132, Hand Management,2
AeroTech: The BattleTech Game of Fighter Combat,8,120,12,5,10865,Hand Management,4
Aether,4,45,10,5,12742,Area Majority / Influence,6
Aether Captains,6,60,13,6,11245,Dice Rolling,3
